type	cobo	asad	aget	chan	det	row	col	num	nom
0	0	0	0	0	-1	30	3	0	TPC
0	0	0	0	1	-1	31	11	0	TPC
0	0	0	0	2	-1	28	14	0	TPC
0	0	0	0	3	-1	29	4	0	TPC
0	0	0	0	4	-1	29	11	0	TPC
0	0	0	0	5	-1	31	15	0	TPC
0	0	0	0	6	-1	29	13	0	TPC
0	0	0	0	7	-1	28	1	0	TPC
0	0	0	0	8	-1	28	12	0	TPC
0	0	0	0	9	-1	31	7	0	TPC
0	0	0	0	10	-1	30	12	0	TPC
0	0	0	0	11	-1	-1	-1	0	TPC
0	0	0	0	12	-1	29	0	0	TPC
0	0	0	0	13	-1	30	14	0	TPC
0	0	0	0	14	-1	31	3	0	TPC
0	0	0	0	15	-1	28	15	0	TPC
0	0	0	0	16	-1	28	10	0	TPC
0	0	0	0	17	-1	31	13	0	TPC
0	0	0	0	18	-1	29	15	0	TPC
0	0	0	0	19	-1	30	5	0	TPC
0	0	0	0	20	-1	29	9	0	TPC
0	0	0	0	21	-1	30	0	0	TPC
0	0	0	0	22	-1	-1	-1	0	TPC
0	0	0	0	23	-1	31	9	0	TPC
0	0	0	0	24	-1	29	14	0	TPC
0	0	0	0	25	-1	30	8	0	TPC
0	0	0	0	26	-1	29	1	0	TPC
0	0	0	0	27	-1	31	5	0	TPC
0	0	0	0	28	-1	30	13	0	TPC
0	0	0	0	29	-1	28	6	0	TPC
0	0	0	0	30	-1	28	2	0	TPC
0	0	0	0	31	-1	30	4	0	TPC
0	0	0	0	32	-1	29	5	0	TPC
0	0	0	0	33	-1	28	11	0	TPC
0	0	0	0	34	-1	31	1	0	TPC
0	0	0	0	35	-1	28	0	0	TPC
0	0	0	0	36	-1	28	13	0	TPC
0	0	0	0	37	-1	29	10	0	TPC
0	0	0	0	38	-1	31	12	0	TPC
0	0	0	0	39	-1	31	8	0	TPC
0	0	0	0	40	-1	30	15	0	TPC
0	0	0	0	41	-1	30	9	0	TPC
0	0	0	0	42	-1	30	2	0	TPC
0	0	0	0	43	-1	31	4	0	TPC
0	0	0	0	44	-1	29	12	0	TPC
0	0	0	0	45	-1	-1	-1	0	TPC
0	0	0	0	46	-1	28	7	0	TPC
0	0	0	0	47	-1	29	3	0	TPC
0	0	0	0	48	-1	31	0	0	TPC
0	0	0	0	49	-1	30	11	0	TPC
0	0	0	0	50	-1	29	6	0	TPC
0	0	0	0	51	-1	31	14	0	TPC
0	0	0	0	52	-1	28	4	0	TPC
0	0	0	0	53	-1	28	9	0	TPC
0	0	0	0	54	-1	29	8	0	TPC
0	0	0	0	55	-1	30	6	0	TPC
0	0	0	0	56	-1	-1	-1	0	TPC
0	0	0	0	57	-1	31	10	0	TPC
0	0	0	0	58	-1	28	3	0	TPC
0	0	0	0	59	-1	30	7	0	TPC
0	0	0	0	60	-1	29	7	0	TPC
0	0	0	0	61	-1	31	6	0	TPC
0	0	0	0	62	-1	30	1	0	TPC
0	0	0	0	63	-1	28	5	0	TPC
0	0	0	0	64	-1	30	10	0	TPC
0	0	0	0	65	-1	31	2	0	TPC
0	0	0	0	66	-1	28	8	0	TPC
0	0	0	0	67	-1	29	2	0	TPC
0	0	0	1	0	-1	30	19	0	TPC
0	0	0	1	1	-1	31	27	0	TPC
0	0	0	1	2	-1	28	30	0	TPC
0	0	0	1	3	-1	29	20	0	TPC
0	0	0	1	4	-1	29	27	0	TPC
0	0	0	1	5	-1	31	31	0	TPC
0	0	0	1	6	-1	29	29	0	TPC
0	0	0	1	7	-1	28	17	0	TPC
0	0	0	1	8	-1	28	28	0	TPC
0	0	0	1	9	-1	31	23	0	TPC
0	0	0	1	10	-1	30	28	0	TPC
0	0	0	1	11	-1	-1	-1	0	TPC
0	0	0	1	12	-1	29	16	0	TPC
0	0	0	1	13	-1	30	30	0	TPC
0	0	0	1	14	-1	31	19	0	TPC
0	0	0	1	15	-1	28	31	0	TPC
0	0	0	1	16	-1	28	26	0	TPC
0	0	0	1	17	-1	31	29	0	TPC
0	0	0	1	18	-1	29	31	0	TPC
0	0	0	1	19	-1	30	21	0	TPC
0	0	0	1	20	-1	29	25	0	TPC
0	0	0	1	21	-1	30	16	0	TPC
0	0	0	1	22	-1	-1	-1	0	TPC
0	0	0	1	23	-1	31	25	0	TPC
0	0	0	1	24	-1	29	30	0	TPC
0	0	0	1	25	-1	30	24	0	TPC
0	0	0	1	26	-1	29	17	0	TPC
0	0	0	1	27	-1	31	21	0	TPC
0	0	0	1	28	-1	30	29	0	TPC
0	0	0	1	29	-1	28	22	0	TPC
0	0	0	1	30	-1	28	18	0	TPC
0	0	0	1	31	-1	30	20	0	TPC
0	0	0	1	32	-1	29	21	0	TPC
0	0	0	1	33	-1	28	27	0	TPC
0	0	0	1	34	-1	31	17	0	TPC
0	0	0	1	35	-1	28	16	0	TPC
0	0	0	1	36	-1	28	29	0	TPC
0	0	0	1	37	-1	29	26	0	TPC
0	0	0	1	38	-1	31	28	0	TPC
0	0	0	1	39	-1	31	24	0	TPC
0	0	0	1	40	-1	30	31	0	TPC
0	0	0	1	41	-1	30	25	0	TPC
0	0	0	1	42	-1	30	18	0	TPC
0	0	0	1	43	-1	31	20	0	TPC
0	0	0	1	44	-1	29	28	0	TPC
0	0	0	1	45	-1	-1	-1	0	TPC
0	0	0	1	46	-1	28	23	0	TPC
0	0	0	1	47	-1	29	19	0	TPC
0	0	0	1	48	-1	31	16	0	TPC
0	0	0	1	49	-1	30	27	0	TPC
0	0	0	1	50	-1	29	22	0	TPC
0	0	0	1	51	-1	31	30	0	TPC
0	0	0	1	52	-1	28	20	0	TPC
0	0	0	1	53	-1	28	25	0	TPC
0	0	0	1	54	-1	29	24	0	TPC
0	0	0	1	55	-1	30	22	0	TPC
0	0	0	1	56	-1	-1	-1	0	TPC
0	0	0	1	57	-1	31	26	0	TPC
0	0	0	1	58	-1	28	19	0	TPC
0	0	0	1	59	-1	30	23	0	TPC
0	0	0	1	60	-1	29	23	0	TPC
0	0	0	1	61	-1	31	22	0	TPC
0	0	0	1	62	-1	30	17	0	TPC
0	0	0	1	63	-1	28	21	0	TPC
0	0	0	1	64	-1	30	26	0	TPC
0	0	0	1	65	-1	31	18	0	TPC
0	0	0	1	66	-1	28	24	0	TPC
0	0	0	1	67	-1	29	18	0	TPC
0	0	0	2	0	-1	30	35	0	TPC
0	0	0	2	1	-1	31	43	0	TPC
0	0	0	2	2	-1	28	46	0	TPC
0	0	0	2	3	-1	29	36	0	TPC
0	0	0	2	4	-1	29	43	0	TPC
0	0	0	2	5	-1	31	47	0	TPC
0	0	0	2	6	-1	29	45	0	TPC
0	0	0	2	7	-1	28	33	0	TPC
0	0	0	2	8	-1	28	44	0	TPC
0	0	0	2	9	-1	31	39	0	TPC
0	0	0	2	10	-1	30	44	0	TPC
0	0	0	2	11	-1	-1	-1	0	TPC
0	0	0	2	12	-1	29	32	0	TPC
0	0	0	2	13	-1	30	46	0	TPC
0	0	0	2	14	-1	31	35	0	TPC
0	0	0	2	15	-1	28	47	0	TPC
0	0	0	2	16	-1	28	42	0	TPC
0	0	0	2	17	-1	31	45	0	TPC
0	0	0	2	18	-1	29	47	0	TPC
0	0	0	2	19	-1	30	37	0	TPC
0	0	0	2	20	-1	29	41	0	TPC
0	0	0	2	21	-1	30	32	0	TPC
0	0	0	2	22	-1	-1	-1	0	TPC
0	0	0	2	23	-1	31	41	0	TPC
0	0	0	2	24	-1	29	46	0	TPC
0	0	0	2	25	-1	30	40	0	TPC
0	0	0	2	26	-1	29	33	0	TPC
0	0	0	2	27	-1	31	37	0	TPC
0	0	0	2	28	-1	30	45	0	TPC
0	0	0	2	29	-1	28	38	0	TPC
0	0	0	2	30	-1	28	34	0	TPC
0	0	0	2	31	-1	30	36	0	TPC
0	0	0	2	32	-1	29	37	0	TPC
0	0	0	2	33	-1	28	43	0	TPC
0	0	0	2	34	-1	31	33	0	TPC
0	0	0	2	35	-1	28	32	0	TPC
0	0	0	2	36	-1	28	45	0	TPC
0	0	0	2	37	-1	29	42	0	TPC
0	0	0	2	38	-1	31	44	0	TPC
0	0	0	2	39	-1	31	40	0	TPC
0	0	0	2	40	-1	30	47	0	TPC
0	0	0	2	41	-1	30	41	0	TPC
0	0	0	2	42	-1	30	34	0	TPC
0	0	0	2	43	-1	31	36	0	TPC
0	0	0	2	44	-1	29	44	0	TPC
0	0	0	2	45	-1	-1	-1	0	TPC
0	0	0	2	46	-1	28	39	0	TPC
0	0	0	2	47	-1	29	35	0	TPC
0	0	0	2	48	-1	31	32	0	TPC
0	0	0	2	49	-1	30	43	0	TPC
0	0	0	2	50	-1	29	38	0	TPC
0	0	0	2	51	-1	31	46	0	TPC
0	0	0	2	52	-1	28	36	0	TPC
0	0	0	2	53	-1	28	41	0	TPC
0	0	0	2	54	-1	29	40	0	TPC
0	0	0	2	55	-1	30	38	0	TPC
0	0	0	2	56	-1	-1	-1	0	TPC
0	0	0	2	57	-1	31	42	0	TPC
0	0	0	2	58	-1	28	35	0	TPC
0	0	0	2	59	-1	30	39	0	TPC
0	0	0	2	60	-1	29	39	0	TPC
0	0	0	2	61	-1	31	38	0	TPC
0	0	0	2	62	-1	30	33	0	TPC
0	0	0	2	63	-1	28	37	0	TPC
0	0	0	2	64	-1	30	42	0	TPC
0	0	0	2	65	-1	31	34	0	TPC
0	0	0	2	66	-1	28	40	0	TPC
0	0	0	2	67	-1	29	34	0	TPC
0	0	0	3	0	-1	30	51	0	TPC
0	0	0	3	1	-1	31	59	0	TPC
0	0	0	3	2	-1	28	62	0	TPC
0	0	0	3	3	-1	29	52	0	TPC
0	0	0	3	4	-1	29	59	0	TPC
0	0	0	3	5	-1	31	63	0	TPC
0	0	0	3	6	-1	29	61	0	TPC
0	0	0	3	7	-1	28	49	0	TPC
0	0	0	3	8	-1	28	60	0	TPC
0	0	0	3	9	-1	31	55	0	TPC
0	0	0	3	10	-1	30	60	0	TPC
0	0	0	3	11	-1	-1	-1	0	TPC
0	0	0	3	12	-1	29	48	0	TPC
0	0	0	3	13	-1	30	62	0	TPC
0	0	0	3	14	-1	31	51	0	TPC
0	0	0	3	15	-1	28	63	0	TPC
0	0	0	3	16	-1	28	58	0	TPC
0	0	0	3	17	-1	31	61	0	TPC
0	0	0	3	18	-1	29	63	0	TPC
0	0	0	3	19	-1	30	53	0	TPC
0	0	0	3	20	-1	29	57	0	TPC
0	0	0	3	21	-1	30	48	0	TPC
0	0	0	3	22	-1	-1	-1	0	TPC
0	0	0	3	23	-1	31	57	0	TPC
0	0	0	3	24	-1	29	62	0	TPC
0	0	0	3	25	-1	30	56	0	TPC
0	0	0	3	26	-1	29	49	0	TPC
0	0	0	3	27	-1	31	53	0	TPC
0	0	0	3	28	-1	30	61	0	TPC
0	0	0	3	29	-1	28	54	0	TPC
0	0	0	3	30	-1	28	50	0	TPC
0	0	0	3	31	-1	30	52	0	TPC
0	0	0	3	32	-1	29	53	0	TPC
0	0	0	3	33	-1	28	59	0	TPC
0	0	0	3	34	-1	31	49	0	TPC
0	0	0	3	35	-1	28	48	0	TPC
0	0	0	3	36	-1	28	61	0	TPC
0	0	0	3	37	-1	29	58	0	TPC
0	0	0	3	38	-1	31	60	0	TPC
0	0	0	3	39	-1	31	56	0	TPC
0	0	0	3	40	-1	30	63	0	TPC
0	0	0	3	41	-1	30	57	0	TPC
0	0	0	3	42	-1	30	50	0	TPC
0	0	0	3	43	-1	31	52	0	TPC
0	0	0	3	44	-1	29	60	0	TPC
0	0	0	3	45	-1	-1	-1	0	TPC
0	0	0	3	46	-1	28	55	0	TPC
0	0	0	3	47	-1	29	51	0	TPC
0	0	0	3	48	-1	31	48	0	TPC
0	0	0	3	49	-1	30	59	0	TPC
0	0	0	3	50	-1	29	54	0	TPC
0	0	0	3	51	-1	31	62	0	TPC
0	0	0	3	52	-1	28	52	0	TPC
0	0	0	3	53	-1	28	57	0	TPC
0	0	0	3	54	-1	29	56	0	TPC
0	0	0	3	55	-1	30	54	0	TPC
0	0	0	3	56	-1	-1	-1	0	TPC
0	0	0	3	57	-1	31	58	0	TPC
0	0	0	3	58	-1	28	51	0	TPC
0	0	0	3	59	-1	30	55	0	TPC
0	0	0	3	60	-1	29	55	0	TPC
0	0	0	3	61	-1	31	54	0	TPC
0	0	0	3	62	-1	30	49	0	TPC
0	0	0	3	63	-1	28	53	0	TPC
0	0	0	3	64	-1	30	58	0	TPC
0	0	0	3	65	-1	31	50	0	TPC
0	0	0	3	66	-1	28	56	0	TPC
0	0	0	3	67	-1	29	50	0	TPC
0	0	1	0	0	-1	24	3	0	TPC
0	0	1	0	1	-1	25	9	0	TPC
0	0	1	0	2	-1	22	14	0	TPC
0	0	1	0	3	-1	23	4	0	TPC
0	0	1	0	4	-1	23	11	0	TPC
0	0	1	0	5	-1	26	10	0	TPC
0	0	1	0	6	-1	23	13	0	TPC
0	0	1	0	7	-1	22	1	0	TPC
0	0	1	0	8	-1	22	12	0	TPC
0	0	1	0	9	-1	27	7	0	TPC
0	0	1	0	10	-1	24	12	0	TPC
0	0	1	0	11	-1	-1	-1	0	TPC
0	0	1	0	12	-1	23	0	0	TPC
0	0	1	0	13	-1	24	14	0	TPC
0	0	1	0	14	-1	26	6	0	TPC
0	0	1	0	15	-1	22	15	0	TPC
0	0	1	0	16	-1	22	10	0	TPC
0	0	1	0	17	-1	25	5	0	TPC
0	0	1	0	18	-1	23	15	0	TPC
0	0	1	0	19	-1	24	5	0	TPC
0	0	1	0	20	-1	23	9	0	TPC
0	0	1	0	21	-1	24	0	0	TPC
0	0	1	0	22	-1	-1	-1	0	TPC
0	0	1	0	23	-1	27	3	0	TPC
0	0	1	0	24	-1	23	14	0	TPC
0	0	1	0	25	-1	24	8	0	TPC
0	0	1	0	26	-1	23	1	0	TPC
0	0	1	0	27	-1	26	2	0	TPC
0	0	1	0	28	-1	24	13	0	TPC
0	0	1	0	29	-1	22	6	0	TPC
0	0	1	0	30	-1	22	2	0	TPC
0	0	1	0	31	-1	24	4	0	TPC
0	0	1	0	32	-1	23	5	0	TPC
0	0	1	0	33	-1	22	11	0	TPC
0	0	1	0	34	-1	25	1	0	TPC
0	0	1	0	35	-1	22	0	0	TPC
0	0	1	0	36	-1	22	13	0	TPC
0	0	1	0	37	-1	23	10	0	TPC
0	0	1	0	38	-1	26	4	0	TPC
0	0	1	0	39	-1	25	3	0	TPC
0	0	1	0	40	-1	24	15	0	TPC
0	0	1	0	41	-1	24	9	0	TPC
0	0	1	0	42	-1	24	2	0	TPC
0	0	1	0	43	-1	27	1	0	TPC
0	0	1	0	44	-1	23	12	0	TPC
0	0	1	0	45	-1	-1	-1	0	TPC
0	0	1	0	46	-1	22	7	0	TPC
0	0	1	0	47	-1	23	3	0	TPC
0	0	1	0	48	-1	26	0	0	TPC
0	0	1	0	49	-1	24	11	0	TPC
0	0	1	0	50	-1	23	6	0	TPC
0	0	1	0	51	-1	27	15	0	TPC
0	0	1	0	52	-1	22	4	0	TPC
0	0	1	0	53	-1	22	9	0	TPC
0	0	1	0	54	-1	23	8	0	TPC
0	0	1	0	55	-1	24	6	0	TPC
0	0	1	0	56	-1	-1	-1	0	TPC
0	0	1	0	57	-1	26	14	0	TPC
0	0	1	0	58	-1	22	3	0	TPC
0	0	1	0	59	-1	24	7	0	TPC
0	0	1	0	60	-1	23	7	0	TPC
0	0	1	0	61	-1	25	13	0	TPC
0	0	1	0	62	-1	24	1	0	TPC
0	0	1	0	63	-1	22	5	0	TPC
0	0	1	0	64	-1	24	10	0	TPC
0	0	1	0	65	-1	27	11	0	TPC
0	0	1	0	66	-1	22	8	0	TPC
0	0	1	0	67	-1	23	2	0	TPC
0	0	1	1	0	-1	24	19	0	TPC
0	0	1	1	1	-1	25	25	0	TPC
0	0	1	1	2	-1	22	30	0	TPC
0	0	1	1	3	-1	23	20	0	TPC
0	0	1	1	4	-1	23	27	0	TPC
0	0	1	1	5	-1	26	26	0	TPC
0	0	1	1	6	-1	23	29	0	TPC
0	0	1	1	7	-1	22	17	0	TPC
0	0	1	1	8	-1	22	28	0	TPC
0	0	1	1	9	-1	27	23	0	TPC
0	0	1	1	10	-1	24	28	0	TPC
0	0	1	1	11	-1	-1	-1	0	TPC
0	0	1	1	12	-1	23	16	0	TPC
0	0	1	1	13	-1	24	30	0	TPC
0	0	1	1	14	-1	26	22	0	TPC
0	0	1	1	15	-1	22	31	0	TPC
0	0	1	1	16	-1	22	26	0	TPC
0	0	1	1	17	-1	25	21	0	TPC
0	0	1	1	18	-1	23	31	0	TPC
0	0	1	1	19	-1	24	21	0	TPC
0	0	1	1	20	-1	23	25	0	TPC
0	0	1	1	21	-1	24	16	0	TPC
0	0	1	1	22	-1	-1	-1	0	TPC
0	0	1	1	23	-1	27	19	0	TPC
0	0	1	1	24	-1	23	30	0	TPC
0	0	1	1	25	-1	24	24	0	TPC
0	0	1	1	26	-1	23	17	0	TPC
0	0	1	1	27	-1	26	18	0	TPC
0	0	1	1	28	-1	24	29	0	TPC
0	0	1	1	29	-1	22	22	0	TPC
0	0	1	1	30	-1	22	18	0	TPC
0	0	1	1	31	-1	24	20	0	TPC
