pad	cobo	asad	aget	chan	row	col	a[keV/ch] b[keV]
88		0	2	2	61	19	45	1	0
4		0	2	2	62	18	33	1	0
18		0	2	2	63	16	37	1	0
31		0	2	2	64	18	42	1	0
84		0	2	2	65	21	43	1	0
27		0	2	2	66	16	40	1	0
8		0	2	2	67	17	34	1	0
315		0	2	3	0	16	56	1	0
345		0	2	3	1	21	50	1	0
372		0	2	3	2	21	59	1	0
319		0	2	3	3	18	58	1	0
382		0	2	3	4	19	63	1	0
349		0	2	3	5	19	52	1	0
376		0	2	3	6	19	61	1	0
311		0	2	3	7	17	55	1	0
378		0	2	3	8	21	61	1	0
341		0	2	3	9	20	49	1	0
380		0	2	3	10	20	62	1	0
-1		0	2	3	11	-1	-1	1	0
307		0	2	3	12	18	54	1	0
374		0	2	3	13	20	60	1	0
337		0	2	3	14	19	48	1	0
303		0	2	3	15	16	52	1	0
384		0	2	3	16	21	63	1	0
383		0	2	3	17	20	63	1	0
370		0	2	3	18	19	59	1	0
356		0	2	3	19	20	54	1	0
338		0	2	3	20	20	48	1	0
366		0	2	3	21	21	57	1	0
-1		0	2	3	22	-1	-1	1	0
379		0	2	3	23	19	62	1	0
299		0	2	3	24	17	51	1	0
342		0	2	3	25	21	49	1	0
362		0	2	3	26	20	56	1	0
375		0	2	3	27	21	60	1	0
295		0	2	3	28	18	50	1	0
346		0	2	3	29	19	51	1	0
358		0	2	3	30	19	55	1	0
354		0	2	3	31	21	53	1	0
350		0	2	3	32	20	52	1	0
291		0	2	3	33	16	48	1	0
371		0	2	3	34	20	59	1	0
367		0	2	3	35	19	58	1	0
297		0	2	3	36	16	50	1	0
340		0	2	3	37	19	49	1	0
381		0	2	3	38	21	62	1	0
377		0	2	3	39	20	61	1	0
301		0	2	3	40	18	52	1	0
344		0	2	3	41	20	50	1	0
363		0	2	3	42	21	56	1	0
373		0	2	3	43	19	60	1	0
293		0	2	3	44	17	49	1	0
-1		0	2	3	45	-1	-1	1	0
348		0	2	3	46	21	51	1	0
359		0	2	3	47	20	55	1	0
369		0	2	3	48	21	58	1	0
289		0	2	3	49	18	48	1	0
352		0	2	3	50	19	53	1	0
365		0	2	3	51	20	57	1	0
355		0	2	3	52	19	54	1	0
335		0	2	3	53	17	63	1	0
331		0	2	3	54	18	62	1	0
351		0	2	3	55	21	52	1	0
-1		0	2	3	56	-1	-1	1	0
361		0	2	3	57	19	56	1	0
360		0	2	3	58	21	55	1	0
327		0	2	3	59	16	60	1	0
347		0	2	3	60	20	51	1	0
357		0	2	3	61	21	54	1	0
368		0	2	3	62	20	58	1	0
323		0	2	3	63	17	59	1	0
339		0	2	3	64	21	48	1	0
353		0	2	3	65	20	53	1	0
343		0	2	3	66	19	50	1	0
364		0	2	3	67	19	57	1	0
1687	0	3	0	0	25	2	1	0
1832	0	3	0	1	17	2	1	0
1697	0	3	0	2	26	5	1	0
1683	0	3	0	3	27	0	1	0
1842	0	3	0	4	16	5	1	0
1828	0	3	0	5	18	1	1	0
1701	0	3	0	6	27	6	1	0
1691	0	3	0	7	26	3	1	0
1846	0	3	0	8	18	7	1	0
1836	0	3	0	9	16	3	1	0
1705	0	3	0	10	25	8	1	0
-1		0	3	0	11	-1	-1	1	0
1695	0	3	0	12	27	4	1	0
1850	0	3	0	13	17	8	1	0
1840	0	3	0	14	18	5	1	0
1699	0	3	0	15	25	6	1	0
1709	0	3	0	16	26	9	1	0
1844	0	3	0	17	17	6	1	0
1854	0	3	0	18	16	9	1	0
1681	0	3	0	19	25	0	1	0
1713	0	3	0	20	27	10	1	0
1858	0	3	0	21	18	11	1	0
-1		0	3	0	22	-1	-1	1	0
1848	0	3	0	23	16	7	1	0
1703	0	3	0	24	26	7	1	0
1717	0	3	0	25	25	12	1	0
1862	0	3	0	26	17	12	1	0
1852	0	3	0	27	18	9	1	0
1707	0	3	0	28	27	8	1	0
1721	0	3	0	29	26	13	1	0
1866	0	3	0	30	16	13	1	0
1870	0	3	0	31	18	15	1	0
1725	0	3	0	32	27	14	1	0
1711	0	3	0	33	25	10	1	0
1856	0	3	0	34	17	10	1	0
1860	0	3	0	35	16	11	1	0
1702	0	3	0	36	25	7	1	0
1715	0	3	0	37	26	11	1	0
1841	0	3	0	38	17	5	1	0
1845	0	3	0	39	16	6	1	0
1698	0	3	0	40	27	5	1	0
1719	0	3	0	41	27	12	1	0
1864	0	3	0	42	18	13	1	0
1849	0	3	0	43	18	8	1	0
1706	0	3	0	44	26	8	1	0
-1		0	3	0	45	-1	-1	1	0
1723	0	3	0	46	25	14	1	0
1868	0	3	0	47	17	14	1	0
1853	0	3	0	48	17	9	1	0
1710	0	3	0	49	27	9	1	0
1727	0	3	0	50	26	15	1	0
1857	0	3	0	51	16	10	1	0
1872	0	3	0	52	16	15	1	0
1714	0	3	0	53	25	11	1	0
1718	0	3	0	54	26	12	1	0
1826	0	3	0	55	17	0	1	0
-1		0	3	0	56	-1	-1	1	0
1861	0	3	0	57	18	12	1	0
1685	0	3	0	58	26	1	1	0
1722	0	3	0	59	27	13	1	0
1830	0	3	0	60	16	1	1	0
1865	0	3	0	61	17	13	1	0
1693	0	3	0	62	25	4	1	0
1726	0	3	0	63	25	15	1	0
1838	0	3	0	64	17	4	1	0
1869	0	3	0	65	16	14	1	0
1834	0	3	0	66	18	3	1	0
1689	0	3	0	67	27	2	1	0
1591	0	3	1	0	25	18	1	0
1736	0	3	1	1	17	18	1	0
1601	0	3	1	2	26	21	1	0
1587	0	3	1	3	27	16	1	0
1746	0	3	1	4	16	21	1	0
1732	0	3	1	5	18	17	1	0
1605	0	3	1	6	27	22	1	0
1595	0	3	1	7	26	19	1	0
1750	0	3	1	8	18	23	1	0
1740	0	3	1	9	16	19	1	0
1609	0	3	1	10	25	24	1	0
-1		0	3	1	11	-1	-1	1	0
1599	0	3	1	12	27	20	1	0
1754	0	3	1	13	17	24	1	0
1744	0	3	1	14	18	21	1	0
1603	0	3	1	15	25	22	1	0
1613	0	3	1	16	26	25	1	0
1748	0	3	1	17	17	22	1	0
1758	0	3	1	18	16	25	1	0
1585	0	3	1	19	25	16	1	0
1617	0	3	1	20	27	26	1	0
1762	0	3	1	21	18	27	1	0
-1		0	3	1	22	-1	-1	1	0
1752	0	3	1	23	16	23	1	0
1607	0	3	1	24	26	23	1	0
1621	0	3	1	25	25	28	1	0
1766	0	3	1	26	17	28	1	0
1756	0	3	1	27	18	25	1	0
1611	0	3	1	28	27	24	1	0
1625	0	3	1	29	26	29	1	0
1770	0	3	1	30	16	29	1	0
1774	0	3	1	31	18	31	1	0
1629	0	3	1	32	27	30	1	0
1615	0	3	1	33	25	26	1	0
1760	0	3	1	34	17	26	1	0
1764	0	3	1	35	16	27	1	0
1606	0	3	1	36	25	23	1	0
1619	0	3	1	37	26	27	1	0
1745	0	3	1	38	17	21	1	0
1749	0	3	1	39	16	22	1	0
1602	0	3	1	40	27	21	1	0
1623	0	3	1	41	27	28	1	0
1768	0	3	1	42	18	29	1	0
1753	0	3	1	43	18	24	1	0
1610	0	3	1	44	26	24	1	0
-1		0	3	1	45	-1	-1	1	0
1627	0	3	1	46	25	30	1	0
1772	0	3	1	47	17	30	1	0
1757	0	3	1	48	17	25	1	0
1614	0	3	1	49	27	25	1	0
1631	0	3	1	50	26	31	1	0
1761	0	3	1	51	16	26	1	0
1776	0	3	1	52	16	31	1	0
1618	0	3	1	53	25	27	1	0
1622	0	3	1	54	26	28	1	0
1730	0	3	1	55	17	16	1	0
-1		0	3	1	56	-1	-1	1	0
1765	0	3	1	57	18	28	1	0
1589	0	3	1	58	26	17	1	0
1626	0	3	1	59	27	29	1	0
1734	0	3	1	60	16	17	1	0
1769	0	3	1	61	17	29	1	0
1597	0	3	1	62	25	20	1	0
1630	0	3	1	63	25	31	1	0
1742	0	3	1	64	17	20	1	0
1773	0	3	1	65	16	30	1	0
1738	0	3	1	66	18	19	1	0
1593	0	3	1	67	27	18	1	0
55		0	3	2	0	19	34	1	0
200		0	3	2	1	23	34	1	0
65		0	3	2	2	20	37	1	0
51		0	3	2	3	21	32	1	0
210		0	3	2	4	22	37	1	0
196		0	3	2	5	24	33	1	0
69		0	3	2	6	21	38	1	0
59		0	3	2	7	20	35	1	0
214		0	3	2	8	24	39	1	0
204		0	3	2	9	22	35	1	0
73		0	3	2	10	19	40	1	0
-1		0	3	2	11	-1	-1	1	0
63		0	3	2	12	21	36	1	0
218		0	3	2	13	23	40	1	0
208		0	3	2	14	24	37	1	0
67		0	3	2	15	19	38	1	0
77		0	3	2	16	20	41	1	0
212		0	3	2	17	23	38	1	0
222		0	3	2	18	22	41	1	0
49		0	3	2	19	19	32	1	0
81		0	3	2	20	21	42	1	0
226		0	3	2	21	24	43	1	0
-1		0	3	2	22	-1	-1	1	0
216		0	3	2	23	22	39	1	0
71		0	3	2	24	20	39	1	0
85		0	3	2	25	19	44	1	0
230		0	3	2	26	23	44	1	0
220		0	3	2	27	24	41	1	0
75		0	3	2	28	21	40	1	0
89		0	3	2	29	20	45	1	0
234		0	3	2	30	22	45	1	0
238		0	3	2	31	24	47	1	0
93		0	3	2	32	21	46	1	0
79		0	3	2	33	19	42	1	0
224		0	3	2	34	23	42	1	0
228		0	3	2	35	22	43	1	0
70		0	3	2	36	19	39	1	0
83		0	3	2	37	20	43	1	0
209		0	3	2	38	23	37	1	0
213		0	3	2	39	22	38	1	0
66		0	3	2	40	21	37	1	0
87		0	3	2	41	21	44	1	0
232		0	3	2	42	24	45	1	0
217		0	3	2	43	24	40	1	0
74		0	3	2	44	20	40	1	0
-1		0	3	2	45	-1	-1	1	0
91		0	3	2	46	19	46	1	0
236		0	3	2	47	23	46	1	0
221		0	3	2	48	23	41	1	0
78		0	3	2	49	21	41	1	0
95		0	3	2	50	20	47	1	0
225		0	3	2	51	22	42	1	0
240		0	3	2	52	22	47	1	0
82		0	3	2	53	19	43	1	0
86		0	3	2	54	20	44	1	0
194		0	3	2	55	23	32	1	0
-1		0	3	2	56	-1	-1	1	0
229		0	3	2	57	24	44	1	0
53		0	3	2	58	20	33	1	0
90		0	3	2	59	21	45	1	0
198		0	3	2	60	22	33	1	0
233		0	3	2	61	23	45	1	0
61		0	3	2	62	19	36	1	0
94		0	3	2	63	19	47	1	0
206		0	3	2	64	23	36	1	0
237		0	3	2	65	22	46	1	0
202		0	3	2	66	24	35	1	0
57		0	3	2	67	21	34	1	0
151		0	3	3	0	25	50	1	0
296		0	3	3	1	17	50	1	0
161		0	3	3	2	26	53	1	0
147		0	3	3	3	27	48	1	0
306		0	3	3	4	16	53	1	0
292		0	3	3	5	18	49	1	0
165		0	3	3	6	27	54	1	0
155		0	3	3	7	26	51	1	0
310		0	3	3	8	18	55	1	0
300		0	3	3	9	16	51	1	0
169		0	3	3	10	25	56	1	0
-1		0	3	3	11	-1	-1	1	0
159		0	3	3	12	27	52	1	0
314		0	3	3	13	17	56	1	0
304		0	3	3	14	18	53	1	0
163		0	3	3	15	25	54	1	0
173		0	3	3	16	26	57	1	0
308		0	3	3	17	17	54	1	0
318		0	3	3	18	16	57	1	0
145		0	3	3	19	25	48	1	0
177		0	3	3	20	27	58	1	0
322		0	3	3	21	18	59	1	0
-1		0	3	3	22	-1	-1	1	0
312		0	3	3	23	16	55	1	0
167		0	3	3	24	26	55	1	0
181		0	3	3	25	25	60	1	0
326		0	3	3	26	17	60	1	0
316		0	3	3	27	18	57	1	0
171		0	3	3	28	27	56	1	0
185		0	3	3	29	26	61	1	0
330		0	3	3	30	16	61	1	0
334		0	3	3	31	18	63	1	0
189		0	3	3	32	27	62	1	0
175		0	3	3	33	25	58	1	0
320		0	3	3	34	17	58	1	0
324		0	3	3	35	16	59	1	0
166		0	3	3	36	25	55	1	0
179		0	3	3	37	26	59	1	0
305		0	3	3	38	17	53	1	0
309		0	3	3	39	16	54	1	0
162		0	3	3	40	27	53	1	0
183		0	3	3	41	27	60	1	0
328		0	3	3	42	18	61	1	0
313		0	3	3	43	18	56	1	0
170		0	3	3	44	26	56	1	0
-1		0	3	3	45	-1	-1	1	0
187		0	3	3	46	25	62	1	0
332		0	3	3	47	17	62	1	0
317		0	3	3	48	17	57	1	0
174		0	3	3	49	27	57	1	0
191		0	3	3	50	26	63	1	0
321		0	3	3	51	16	58	1	0
336		0	3	3	52	16	63	1	0
178		0	3	3	53	25	59	1	0
182		0	3	3	54	26	60	1	0
290		0	3	3	55	17	48	1	0
-1		0	3	3	56	-1	-1	1	0
325		0	3	3	57	18	60	1	0
149		0	3	3	58	26	49	1	0
186		0	3	3	59	27	61	1	0
294		0	3	3	60	16	49	1	0
329		0	3	3	61	17	61	1	0
157		0	3	3	62	25	52	1	0
190		0	3	3	63	25	63	1	0
302		0	3	3	64	17	52	1	0
333		0	3	3	65	16	62	1	0
298		0	3	3	66	18	51	1	0
153		0	3	3	67	27	50	1	0
1322	1	0	0	0	12	3	1	0
1388	1	0	0	1	13	9	1	0
1357	1	0	0	2	10	14	1	0
1326	1	0	0	3	11	4	1	0
1347	1	0	0	4	11	11	1	0
1392	1	0	0	5	14	10	1	0
1353	1	0	0	6	11	13	1	0
1318	1	0	0	7	10	1	1	0
1351	1	0	0	8	10	12	1	0
1384	1	0	0	9	15	7	1	0
1349	1	0	0	10	12	12	1	0
-1		1	0	0	11	-1	-1	1	0
1314	1	0	0	12	11	0	1	0
1355	1	0	0	13	12	14	1	0
1380	1	0	0	14	14	6	1	0
1360	1	0	0	15	10	15	1	0
1345	1	0	0	16	10	10	1	0
1376	1	0	0	17	13	5	1	0
1359	1	0	0	18	11	15	1	0
1328	1	0	0	19	12	5	1	0
1341	1	0	0	20	11	9	1	0
1313	1	0	0	21	12	0	1	0
-1		1	0	0	22	-1	-1	1	0
1372	1	0	0	23	15	3	1	0
1356	1	0	0	24	11	14	1	0
1337	1	0	0	25	12	8	1	0
1317	1	0	0	26	11	1	1	0
1368	1	0	0	27	14	2	1	0
1352	1	0	0	28	12	13	1	0
1333	1	0	0	29	10	6	1	0
1321	1	0	0	30	10	2	1	0
1325	1	0	0	31	12	4	1	0
1329	1	0	0	32	11	5	1	0
1348	1	0	0	33	10	11	1	0
1364	1	0	0	34	13	1	1	0
1315	1	0	0	35	10	0	1	0
1354	1	0	0	36	10	13	1	0
1344	1	0	0	37	11	10	1	0
1374	1	0	0	38	14	4	1	0
1370	1	0	0	39	13	3	1	0
1358	1	0	0	40	12	15	1	0
1340	1	0	0	41	12	9	1	0
1319	1	0	0	42	12	2	1	0
1366	1	0	0	43	15	1	1	0
1350	1	0	0	44	11	12	1	0
-1		1	0	0	45	-1	-1	1	0
1336	1	0	0	46	10	7	1	0
1323	1	0	0	47	11	3	1	0
1362	1	0	0	48	14	0	1	0
1346	1	0	0	49	12	11	1	0
1332	1	0	0	50	11	6	1	0
1408	1	0	0	51	15	15	1	0
1327	1	0	0	52	10	4	1	0
1342	1	0	0	53	10	9	1	0
1338	1	0	0	54	11	8	1	0
1331	1	0	0	55	12	6	1	0
-1		1	0	0	56	-1	-1	1	0
1404	1	0	0	57	14	14	1	0
1324	1	0	0	58	10	3	1	0
1334	1	0	0	59	12	7	1	0
1335	1	0	0	60	11	7	1	0
1400	1	0	0	61	13	13	1	0
1316	1	0	0	62	12	1	1	0
1330	1	0	0	63	10	5	1	0
1343	1	0	0	64	12	10	1	0
1396	1	0	0	65	15	11	1	0
1339	1	0	0	66	10	8	1	0
1320	1	0	0	67	11	2	1	0
1226	1	0	1	0	12	19	1	0
1292	1	0	1	1	13	25	1	0
1261	1	0	1	2	10	30	1	0
1230	1	0	1	3	11	20	1	0
1251	1	0	1	4	11	27	1	0
1296	1	0	1	5	14	26	1	0
1257	1	0	1	6	11	29	1	0
1222	1	0	1	7	10	17	1	0
1255	1	0	1	8	10	28	1	0
1288	1	0	1	9	15	23	1	0
1253	1	0	1	10	12	28	1	0
-1		1	0	1	11	-1	-1	1	0
1218	1	0	1	12	11	16	1	0
1259	1	0	1	13	12	30	1	0
1284	1	0	1	14	14	22	1	0
1264	1	0	1	15	10	31	1	0
1249	1	0	1	16	10	26	1	0
1280	1	0	1	17	13	21	1	0
1263	1	0	1	18	11	31	1	0
1232	1	0	1	19	12	21	1	0
1245	1	0	1	20	11	25	1	0
1217	1	0	1	21	12	16	1	0
-1		1	0	1	22	-1	-1	1	0
1276	1	0	1	23	15	19	1	0
1260	1	0	1	24	11	30	1	0
1241	1	0	1	25	12	24	1	0
1221	1	0	1	26	11	17	1	0
1272	1	0	1	27	14	18	1	0
1256	1	0	1	28	12	29	1	0
1237	1	0	1	29	10	22	1	0
1225	1	0	1	30	10	18	1	0
1229	1	0	1	31	12	20	1	0
1233	1	0	1	32	11	21	1	0
1252	1	0	1	33	10	27	1	0
1268	1	0	1	34	13	17	1	0
1219	1	0	1	35	10	16	1	0
1258	1	0	1	36	10	29	1	0
1248	1	0	1	37	11	26	1	0
1278	1	0	1	38	14	20	1	0
1274	1	0	1	39	13	19	1	0
1262	1	0	1	40	12	31	1	0
1244	1	0	1	41	12	25	1	0
1223	1	0	1	42	12	18	1	0
1270	1	0	1	43	15	17	1	0
1254	1	0	1	44	11	28	1	0
-1		1	0	1	45	-1	-1	1	0
1240	1	0	1	46	10	23	1	0
1227	1	0	1	47	11	19	1	0
1266	1	0	1	48	14	16	1	0
1250	1	0	1	49	12	27	1	0
1236	1	0	1	50	11	22	1	0
1312	1	0	1	51	15	31	1	0
1231	1	0	1	52	10	20	1	0
1246	1	0	1	53	10	25	1	0
1242	1	0	1	54	11	24	1	0
1235	1	0	1	55	12	22	1	0
-1		1	0	1	56	-1	-1	1	0
1308	1	0	1	57	14	30	1	0
1228	1	0	1	58	10	19	1	0
1238	1	0	1	59	12	23	1	0
1239	1	0	1	60	11	23	1	0
1304	1	0	1	61	13	29	1	0
1220	1	0	1	62	12	17	1	0
1234	1	0	1	63	10	21	1	0
1247	1	0	1	64	12	26	1	0
1300	1	0	1	65	15	27	1	0
1243	1	0	1	66	10	24	1	0
1224	1	0	1	67	11	18	1	0
539		1	0	2	0	10	40	1	0
569		1	0	2	1	15	34	1	0
596		1	0	2	2	15	43	1	0
543		1	0	2	3	12	42	1	0
606		1	0	2	4	13	47	1	0
573		1	0	2	5	13	36	1	0
600		1	0	2	6	13	45	1	0
535		1	0	2	7	11	39	1	0
602		1	0	2	8	15	45	1	0
565		1	0	2	9	14	33	1	0
604		1	0	2	10	14	46	1	0
-1		1	0	2	11	-1	-1	1	0
531		1	0	2	12	12	38	1	0
598		1	0	2	13	14	44	1	0
561		1	0	2	14	13	32	1	0
527		1	0	2	15	10	36	1	0
608		1	0	2	16	15	47	1	0
607		1	0	2	17	14	47	1	0
594		1	0	2	18	13	43	1	0
580		1	0	2	19	14	38	1	0
562		1	0	2	20	14	32	1	0
590		1	0	2	21	15	41	1	0
-1		1	0	2	22	-1	-1	1	0
603		1	0	2	23	13	46	1	0
523		1	0	2	24	11	35	1	0
566		1	0	2	25	15	33	1	0
586		1	0	2	26	14	40	1	0
599		1	0	2	27	15	44	1	0
519		1	0	2	28	12	34	1	0
570		1	0	2	29	13	35	1	0
582		1	0	2	30	13	39	1	0
578		1	0	2	31	15	37	1	0
574		1	0	2	32	14	36	1	0
515		1	0	2	33	10	32	1	0
595		1	0	2	34	14	43	1	0
591		1	0	2	35	13	42	1	0
521		1	0	2	36	10	34	1	0
564		1	0	2	37	13	33	1	0
605		1	0	2	38	15	46	1	0
601		1	0	2	39	14	45	1	0
525		1	0	2	40	12	36	1	0
568		1	0	2	41	14	34	1	0
587		1	0	2	42	15	40	1	0
597		1	0	2	43	13	44	1	0
517		1	0	2	44	11	33	1	0
-1		1	0	2	45	-1	-1	1	0
572		1	0	2	46	15	35	1	0
583		1	0	2	47	14	39	1	0
593		1	0	2	48	15	42	1	0
513		1	0	2	49	12	32	1	0
576		1	0	2	50	13	37	1	0
589		1	0	2	51	14	41	1	0
579		1	0	2	52	13	38	1	0
559		1	0	2	53	11	47	1	0
555		1	0	2	54	12	46	1	0
575		1	0	2	55	15	36	1	0
-1		1	0	2	56	-1	-1	1	0
585		1	0	2	57	13	40	1	0
584		1	0	2	58	15	39	1	0
551		1	0	2	59	10	44	1	0
571		1	0	2	60	14	35	1	0
581		1	0	2	61	15	38	1	0
592		1	0	2	62	14	42	1	0
547		1	0	2	63	11	43	1	0
563		1	0	2	64	15	32	1	0
577		1	0	2	65	14	37	1	0
567		1	0	2	66	13	34	1	0
588		1	0	2	67	13	41	1	0
810		1	0	3	0	12	51	1	0
876		1	0	3	1	13	57	1	0
845		1	0	3	2	10	62	1	0
814		1	0	3	3	11	52	1	0
835		1	0	3	4	11	59	1	0
880		1	0	3	5	14	58	1	0
841		1	0	3	6	11	61	1	0
806		1	0	3	7	10	49	1	0
839		1	0	3	8	10	60	1	0
872		1	0	3	9	15	55	1	0
837		1	0	3	10	12	60	1	0
-1		1	0	3	11	-1	-1	1	0
802		1	0	3	12	11	48	1	0
843		1	0	3	13	12	62	1	0
868		1	0	3	14	14	54	1	0
848		1	0	3	15	10	63	1	0
833		1	0	3	16	10	58	1	0
864		1	0	3	17	13	53	1	0
847		1	0	3	18	11	63	1	0
816		1	0	3	19	12	53	1	0
829		1	0	3	20	11	57	1	0
801		1	0	3	21	12	48	1	0
-1		1	0	3	22	-1	-1	1	0
860		1	0	3	23	15	51	1	0
844		1	0	3	24	11	62	1	0
825		1	0	3	25	12	56	1	0
805		1	0	3	26	11	49	1	0
856		1	0	3	27	14	50	1	0
840		1	0	3	28	12	61	1	0
821		1	0	3	29	10	54	1	0
809		1	0	3	30	10	50	1	0
813		1	0	3	31	12	52	1	0
817		1	0	3	32	11	53	1	0
836		1	0	3	33	10	59	1	0
852		1	0	3	34	13	49	1	0
803		1	0	3	35	10	48	1	0
842		1	0	3	36	10	61	1	0
832		1	0	3	37	11	58	1	0
862		1	0	3	38	14	52	1	0
858		1	0	3	39	13	51	1	0
846		1	0	3	40	12	63	1	0
828		1	0	3	41	12	57	1	0
807		1	0	3	42	12	50	1	0
854		1	0	3	43	15	49	1	0
838		1	0	3	44	11	60	1	0
-1		1	0	3	45	-1	-1	1	0
824		1	0	3	46	10	55	1	0
811		1	0	3	47	11	51	1	0
850		1	0	3	48	14	48	1	0
834		1	0	3	49	12	59	1	0
820		1	0	3	50	11	54	1	0
896		1	0	3	51	15	63	1	0
815		1	0	3	52	10	52	1	0
830		1	0	3	53	10	57	1	0
826		1	0	3	54	11	56	1	0
819		1	0	3	55	12	54	1	0
-1		1	0	3	56	-1	-1	1	0
892		1	0	3	57	14	62	1	0
812		1	0	3	58	10	51	1	0
822		1	0	3	59	12	55	1	0
823		1	0	3	60	11	55	1	0
888		1	0	3	61	13	61	1	0
804		1	0	3	62	12	49	1	0
818		1	0	3	63	10	53	1	0
831		1	0	3	64	12	58	1	0
884		1	0	3	65	15	59	1	0
827		1	0	3	66	10	56	1	0
808		1	0	3	67	11	50	1	0
1147	1	1	0	0	4	8	1	0
1177	1	1	0	1	9	2	1	0
1204	1	1	0	2	9	11	1	0
1151	1	1	0	3	6	10	1	0
1214	1	1	0	4	7	15	1	0
1181	1	1	0	5	7	4	1	0
1208	1	1	0	6	7	13	1	0
1143	1	1	0	7	5	7	1	0
1210	1	1	0	8	9	13	1	0
1173	1	1	0	9	8	1	1	0
1212	1	1	0	10	8	14	1	0
-1		1	1	0	11	-1	-1	1	0
1139	1	1	0	12	6	6	1	0
1206	1	1	0	13	8	12	1	0
1169	1	1	0	14	7	0	1	0
1135	1	1	0	15	4	4	1	0
1216	1	1	0	16	9	15	1	0
1215	1	1	0	17	8	15	1	0
1202	1	1	0	18	7	11	1	0
1188	1	1	0	19	8	6	1	0
1170	1	1	0	20	8	0	1	0
1198	1	1	0	21	9	9	1	0
-1		1	1	0	22	-1	-1	1	0
1211	1	1	0	23	7	14	1	0
1131	1	1	0	24	5	3	1	0
1174	1	1	0	25	9	1	1	0
1194	1	1	0	26	8	8	1	0
1207	1	1	0	27	9	12	1	0
1127	1	1	0	28	6	2	1	0
1178	1	1	0	29	7	3	1	0
1190	1	1	0	30	7	7	1	0
1186	1	1	0	31	9	5	1	0
1182	1	1	0	32	8	4	1	0
1123	1	1	0	33	4	0	1	0
1203	1	1	0	34	8	11	1	0
1199	1	1	0	35	7	10	1	0
1129	1	1	0	36	4	2	1	0
1172	1	1	0	37	7	1	1	0
1213	1	1	0	38	9	14	1	0
1209	1	1	0	39	8	13	1	0
1133	1	1	0	40	6	4	1	0
1176	1	1	0	41	8	2	1	0
1195	1	1	0	42	9	8	1	0
1205	1	1	0	43	7	12	1	0
1125	1	1	0	44	5	1	1	0
-1		1	1	0	45	-1	-1	1	0
1180	1	1	0	46	9	3	1	0
1191	1	1	0	47	8	7	1	0
1201	1	1	0	48	9	10	1	0
1121	1	1	0	49	6	0	1	0
1184	1	1	0	50	7	5	1	0
1197	1	1	0	51	8	9	1	0
1187	1	1	0	52	7	6	1	0
1167	1	1	0	53	5	15	1	0
1163	1	1	0	54	6	14	1	0
1183	1	1	0	55	9	4	1	0
-1		1	1	0	56	-1	-1	1	0
1193	1	1	0	57	7	8	1	0
1192	1	1	0	58	9	7	1	0
1159	1	1	0	59	4	12	1	0
1179	1	1	0	60	8	3	1	0
1189	1	1	0	61	9	6	1	0
1200	1	1	0	62	8	10	1	0
1155	1	1	0	63	5	11	1	0
1171	1	1	0	64	9	0	1	0
1185	1	1	0	65	8	5	1	0
1175	1	1	0	66	7	2	1	0
1196	1	1	0	67	7	9	1	0
1051	1	1	1	0	4	24	1	0
1081	1	1	1	1	9	18	1	0
1108	1	1	1	2	9	27	1	0
1055	1	1	1	3	6	26	1	0
1118	1	1	1	4	7	31	1	0
1085	1	1	1	5	7	20	1	0
1112	1	1	1	6	7	29	1	0
1047	1	1	1	7	5	23	1	0
1114	1	1	1	8	9	29	1	0
1077	1	1	1	9	8	17	1	0
1116	1	1	1	10	8	30	1	0
-1		1	1	1	11	-1	-1	1	0
1043	1	1	1	12	6	22	1	0
1110	1	1	1	13	8	28	1	0
1073	1	1	1	14	7	16	1	0
1039	1	1	1	15	4	20	1	0
1120	1	1	1	16	9	31	1	0
1119	1	1	1	17	8	31	1	0
1106	1	1	1	18	7	27	1	0
1092	1	1	1	19	8	22	1	0
1074	1	1	1	20	8	16	1	0
1102	1	1	1	21	9	25	1	0
-1		1	1	1	22	-1	-1	1	0
1115	1	1	1	23	7	30	1	0
1035	1	1	1	24	5	19	1	0
1078	1	1	1	25	9	17	1	0
1098	1	1	1	26	8	24	1	0
1111	1	1	1	27	9	28	1	0
1031	1	1	1	28	6	18	1	0
1082	1	1	1	29	7	19	1	0
1094	1	1	1	30	7	23	1	0
1090	1	1	1	31	9	21	1	0
1086	1	1	1	32	8	20	1	0
1027	1	1	1	33	4	16	1	0
1107	1	1	1	34	8	27	1	0
1103	1	1	1	35	7	26	1	0
1033	1	1	1	36	4	18	1	0
1076	1	1	1	37	7	17	1	0
1117	1	1	1	38	9	30	1	0
1113	1	1	1	39	8	29	1	0
1037	1	1	1	40	6	20	1	0
1080	1	1	1	41	8	18	1	0
1099	1	1	1	42	9	24	1	0
1109	1	1	1	43	7	28	1	0
1029	1	1	1	44	5	17	1	0
-1		1	1	1	45	-1	-1	1	0
1084	1	1	1	46	9	19	1	0
1095	1	1	1	47	8	23	1	0
1105	1	1	1	48	9	26	1	0
1025	1	1	1	49	6	16	1	0
1088	1	1	1	50	7	21	1	0
1101	1	1	1	51	8	25	1	0
1091	1	1	1	52	7	22	1	0
1071	1	1	1	53	5	31	1	0
1067	1	1	1	54	6	30	1	0
1087	1	1	1	55	9	20	1	0
-1		1	1	1	56	-1	-1	1	0
1097	1	1	1	57	7	24	1	0
1096	1	1	1	58	9	23	1	0
1063	1	1	1	59	4	28	1	0
