pad	cobo	asad	aget	chan	row	col	a[keV/ch] b[keV]
397		0	0	2	31	30	36	1	0
401		0	0	2	32	29	37	1	0
420		0	0	2	33	28	43	1	0
434		0	0	2	34	31	33	1	0
387		0	0	2	35	28	32	1	0
426		0	0	2	36	28	45	1	0
416		0	0	2	37	29	42	1	0
445		0	0	2	38	31	44	1	0
441		0	0	2	39	31	40	1	0
430		0	0	2	40	30	47	1	0
412		0	0	2	41	30	41	1	0
391		0	0	2	42	30	34	1	0
437		0	0	2	43	31	36	1	0
422		0	0	2	44	29	44	1	0
-1		0	0	2	45	-1	-1	1	0
408		0	0	2	46	28	39	1	0
395		0	0	2	47	29	35	1	0
433		0	0	2	48	31	32	1	0
418		0	0	2	49	30	43	1	0
404		0	0	2	50	29	38	1	0
447		0	0	2	51	31	46	1	0
399		0	0	2	52	28	36	1	0
414		0	0	2	53	28	41	1	0
410		0	0	2	54	29	40	1	0
403		0	0	2	55	30	38	1	0
-1		0	0	2	56	-1	-1	1	0
443		0	0	2	57	31	42	1	0
396		0	0	2	58	28	35	1	0
406		0	0	2	59	30	39	1	0
407		0	0	2	60	29	39	1	0
439		0	0	2	61	31	38	1	0
388		0	0	2	62	30	33	1	0
402		0	0	2	63	28	37	1	0
415		0	0	2	64	30	42	1	0
435		0	0	2	65	31	34	1	0
411		0	0	2	66	28	40	1	0
392		0	0	2	67	29	34	1	0
458		0	0	3	0	30	51	1	0
508		0	0	3	1	31	59	1	0
493		0	0	3	2	28	62	1	0
462		0	0	3	3	29	52	1	0
483		0	0	3	4	29	59	1	0
512		0	0	3	5	31	63	1	0
489		0	0	3	6	29	61	1	0
454		0	0	3	7	28	49	1	0
487		0	0	3	8	28	60	1	0
504		0	0	3	9	31	55	1	0
485		0	0	3	10	30	60	1	0
-1		0	0	3	11	-1	-1	1	0
450		0	0	3	12	29	48	1	0
491		0	0	3	13	30	62	1	0
500		0	0	3	14	31	51	1	0
496		0	0	3	15	28	63	1	0
481		0	0	3	16	28	58	1	0
510		0	0	3	17	31	61	1	0
495		0	0	3	18	29	63	1	0
464		0	0	3	19	30	53	1	0
477		0	0	3	20	29	57	1	0
449		0	0	3	21	30	48	1	0
-1		0	0	3	22	-1	-1	1	0
506		0	0	3	23	31	57	1	0
492		0	0	3	24	29	62	1	0
473		0	0	3	25	30	56	1	0
453		0	0	3	26	29	49	1	0
502		0	0	3	27	31	53	1	0
488		0	0	3	28	30	61	1	0
469		0	0	3	29	28	54	1	0
457		0	0	3	30	28	50	1	0
461		0	0	3	31	30	52	1	0
465		0	0	3	32	29	53	1	0
484		0	0	3	33	28	59	1	0
498		0	0	3	34	31	49	1	0
451		0	0	3	35	28	48	1	0
490		0	0	3	36	28	61	1	0
480		0	0	3	37	29	58	1	0
509		0	0	3	38	31	60	1	0
505		0	0	3	39	31	56	1	0
494		0	0	3	40	30	63	1	0
476		0	0	3	41	30	57	1	0
455		0	0	3	42	30	50	1	0
501		0	0	3	43	31	52	1	0
486		0	0	3	44	29	60	1	0
-1		0	0	3	45	-1	-1	1	0
472		0	0	3	46	28	55	1	0
459		0	0	3	47	29	51	1	0
497		0	0	3	48	31	48	1	0
482		0	0	3	49	30	59	1	0
468		0	0	3	50	29	54	1	0
511		0	0	3	51	31	62	1	0
463		0	0	3	52	28	52	1	0
478		0	0	3	53	28	57	1	0
474		0	0	3	54	29	56	1	0
467		0	0	3	55	30	54	1	0
-1		0	0	3	56	-1	-1	1	0
507		0	0	3	57	31	58	1	0
460		0	0	3	58	28	51	1	0
470		0	0	3	59	30	55	1	0
471		0	0	3	60	29	55	1	0
503		0	0	3	61	31	54	1	0
452		0	0	3	62	30	49	1	0
466		0	0	3	63	28	53	1	0
479		0	0	3	64	30	58	1	0
499		0	0	3	65	31	50	1	0
475		0	0	3	66	28	56	1	0
456		0	0	3	67	29	50	1	0
1642	0	1	0	0	24	3	1	0
1708	0	1	0	1	25	9	1	0
1677	0	1	0	2	22	14	1	0
1646	0	1	0	3	23	4	1	0
1667	0	1	0	4	23	11	1	0
1712	0	1	0	5	26	10	1	0
1673	0	1	0	6	23	13	1	0
1638	0	1	0	7	22	1	1	0
1671	0	1	0	8	22	12	1	0
1704	0	1	0	9	27	7	1	0
1669	0	1	0	10	24	12	1	0
-1		0	1	0	11	-1	-1	1	0
1634	0	1	0	12	23	0	1	0
1675	0	1	0	13	24	14	1	0
1700	0	1	0	14	26	6	1	0
1680	0	1	0	15	22	15	1	0
1665	0	1	0	16	22	10	1	0
1696	0	1	0	17	25	5	1	0
1679	0	1	0	18	23	15	1	0
1648	0	1	0	19	24	5	1	0
1661	0	1	0	20	23	9	1	0
1633	0	1	0	21	24	0	1	0
-1		0	1	0	22	-1	-1	1	0
1692	0	1	0	23	27	3	1	0
1676	0	1	0	24	23	14	1	0
1657	0	1	0	25	24	8	1	0
1637	0	1	0	26	23	1	1	0
1688	0	1	0	27	26	2	1	0
1672	0	1	0	28	24	13	1	0
1653	0	1	0	29	22	6	1	0
1641	0	1	0	30	22	2	1	0
1645	0	1	0	31	24	4	1	0
1649	0	1	0	32	23	5	1	0
1668	0	1	0	33	22	11	1	0
1684	0	1	0	34	25	1	1	0
1635	0	1	0	35	22	0	1	0
1674	0	1	0	36	22	13	1	0
1664	0	1	0	37	23	10	1	0
1694	0	1	0	38	26	4	1	0
1690	0	1	0	39	25	3	1	0
1678	0	1	0	40	24	15	1	0
1660	0	1	0	41	24	9	1	0
1639	0	1	0	42	24	2	1	0
1686	0	1	0	43	27	1	1	0
1670	0	1	0	44	23	12	1	0
-1		0	1	0	45	-1	-1	1	0
1656	0	1	0	46	22	7	1	0
1643	0	1	0	47	23	3	1	0
1682	0	1	0	48	26	0	1	0
1666	0	1	0	49	24	11	1	0
1652	0	1	0	50	23	6	1	0
1728	0	1	0	51	27	15	1	0
1647	0	1	0	52	22	4	1	0
1662	0	1	0	53	22	9	1	0
1658	0	1	0	54	23	8	1	0
1651	0	1	0	55	24	6	1	0
-1		0	1	0	56	-1	-1	1	0
1724	0	1	0	57	26	14	1	0
1644	0	1	0	58	22	3	1	0
1654	0	1	0	59	24	7	1	0
1655	0	1	0	60	23	7	1	0
1720	0	1	0	61	25	13	1	0
1636	0	1	0	62	24	1	1	0
1650	0	1	0	63	22	5	1	0
1663	0	1	0	64	24	10	1	0
1716	0	1	0	65	27	11	1	0
1659	0	1	0	66	22	8	1	0
1640	0	1	0	67	23	2	1	0
1546	0	1	1	0	24	19	1	0
1612	0	1	1	1	25	25	1	0
1581	0	1	1	2	22	30	1	0
1550	0	1	1	3	23	20	1	0
1571	0	1	1	4	23	27	1	0
1616	0	1	1	5	26	26	1	0
1577	0	1	1	6	23	29	1	0
1542	0	1	1	7	22	17	1	0
1575	0	1	1	8	22	28	1	0
1608	0	1	1	9	27	23	1	0
1573	0	1	1	10	24	28	1	0
-1		0	1	1	11	-1	-1	1	0
1538	0	1	1	12	23	16	1	0
1579	0	1	1	13	24	30	1	0
1604	0	1	1	14	26	22	1	0
1584	0	1	1	15	22	31	1	0
1569	0	1	1	16	22	26	1	0
1600	0	1	1	17	25	21	1	0
1583	0	1	1	18	23	31	1	0
1552	0	1	1	19	24	21	1	0
1565	0	1	1	20	23	25	1	0
1537	0	1	1	21	24	16	1	0
-1		0	1	1	22	-1	-1	1	0
1596	0	1	1	23	27	19	1	0
1580	0	1	1	24	23	30	1	0
1561	0	1	1	25	24	24	1	0
1541	0	1	1	26	23	17	1	0
1592	0	1	1	27	26	18	1	0
1576	0	1	1	28	24	29	1	0
