pad	cobo	asad	aget	chan	row	col
1970	0	0	1	34	31	17
1923	0	0	1	35	28	16
1962	0	0	1	36	28	29
1952	0	0	1	37	29	26
1981	0	0	1	38	31	28
1977	0	0	1	39	31	24
1966	0	0	1	40	30	31
1948	0	0	1	41	30	25
1927	0	0	1	42	30	18
1973	0	0	1	43	31	20
1958	0	0	1	44	29	28
-1		0	0	1	45	-1	-1
1944	0	0	1	46	28	23
1931	0	0	1	47	29	19
1969	0	0	1	48	31	16
1954	0	0	1	49	30	27
1940	0	0	1	50	29	22
1983	0	0	1	51	31	30
1935	0	0	1	52	28	20
1950	0	0	1	53	28	25
1946	0	0	1	54	29	24
1939	0	0	1	55	30	22
-1		0	0	1	56	-1	-1
1979	0	0	1	57	31	26
1932	0	0	1	58	28	19
1942	0	0	1	59	30	23
1943	0	0	1	60	29	23
1975	0	0	1	61	31	22
1924	0	0	1	62	30	17
1938	0	0	1	63	28	21
1951	0	0	1	64	30	26
1971	0	0	1	65	31	18
1947	0	0	1	66	28	24
1928	0	0	1	67	29	18
394		0	0	2	0	30	35
444		0	0	2	1	31	43
429		0	0	2	2	28	46
398		0	0	2	3	29	36
419		0	0	2	4	29	43
448		0	0	2	5	31	47
425		0	0	2	6	29	45
390		0	0	2	7	28	33
423		0	0	2	8	28	44
440		0	0	2	9	31	39
421		0	0	2	10	30	44
-1		0	0	2	11	-1	-1
386		0	0	2	12	29	32
427		0	0	2	13	30	46
436		0	0	2	14	31	35
432		0	0	2	15	28	47
417		0	0	2	16	28	42
446		0	0	2	17	31	45
431		0	0	2	18	29	47
400		0	0	2	19	30	37
413		0	0	2	20	29	41
385		0	0	2	21	30	32
-1		0	0	2	22	-1	-1
442		0	0	2	23	31	41
428		0	0	2	24	29	46
409		0	0	2	25	30	40
389		0	0	2	26	29	33
438		0	0	2	27	31	37
424		0	0	2	28	30	45
405		0	0	2	29	28	38
393		0	0	2	30	28	34
397		0	0	2	31	30	36
401		0	0	2	32	29	37
420		0	0	2	33	28	43
434		0	0	2	34	31	33
387		0	0	2	35	28	32
426		0	0	2	36	28	45
416		0	0	2	37	29	42
445		0	0	2	38	31	44
441		0	0	2	39	31	40
430		0	0	2	40	30	47
412		0	0	2	41	30	41
391		0	0	2	42	30	34
437		0	0	2	43	31	36
422		0	0	2	44	29	44
-1		0	0	2	45	-1	-1
408		0	0	2	46	28	39
395		0	0	2	47	29	35
433		0	0	2	48	31	32
418		0	0	2	49	30	43
404		0	0	2	50	29	38
447		0	0	2	51	31	46
399		0	0	2	52	28	36
414		0	0	2	53	28	41
410		0	0	2	54	29	40
403		0	0	2	55	30	38
-1		0	0	2	56	-1	-1
443		0	0	2	57	31	42
396		0	0	2	58	28	35
406		0	0	2	59	30	39
407		0	0	2	60	29	39
439		0	0	2	61	31	38
388		0	0	2	62	30	33
402		0	0	2	63	28	37
415		0	0	2	64	30	42
435		0	0	2	65	31	34
411		0	0	2	66	28	40
392		0	0	2	67	29	34
458		0	0	3	0	30	51
508		0	0	3	1	31	59
493		0	0	3	2	28	62
462		0	0	3	3	29	52
483		0	0	3	4	29	59
512		0	0	3	5	31	63
489		0	0	3	6	29	61
454		0	0	3	7	28	49
487		0	0	3	8	28	60
504		0	0	3	9	31	55
485		0	0	3	10	30	60
-1		0	0	3	11	-1	-1
450		0	0	3	12	29	48
491		0	0	3	13	30	62
500		0	0	3	14	31	51
496		0	0	3	15	28	63
481		0	0	3	16	28	58
510		0	0	3	17	31	61
495		0	0	3	18	29	63
464		0	0	3	19	30	53
477		0	0	3	20	29	57
449		0	0	3	21	30	48
-1		0	0	3	22	-1	-1
506		0	0	3	23	31	57
492		0	0	3	24	29	62
473		0	0	3	25	30	56
453		0	0	3	26	29	49
502		0	0	3	27	31	53
488		0	0	3	28	30	61
469		0	0	3	29	28	54
457		0	0	3	30	28	50
461		0	0	3	31	30	52
465		0	0	3	32	29	53
484		0	0	3	33	28	59
498		0	0	3	34	31	49
451		0	0	3	35	28	48
490		0	0	3	36	28	61
480		0	0	3	37	29	58
509		0	0	3	38	31	60
505		0	0	3	39	31	56
494		0	0	3	40	30	63
476		0	0	3	41	30	57
455		0	0	3	42	30	50
501		0	0	3	43	31	52
486		0	0	3	44	29	60
-1		0	0	3	45	-1	-1
472		0	0	3	46	28	55
459		0	0	3	47	29	51
497		0	0	3	48	31	48
482		0	0	3	49	30	59
468		0	0	3	50	29	54
511		0	0	3	51	31	62
463		0	0	3	52	28	52
478		0	0	3	53	28	57
474		0	0	3	54	29	56
467		0	0	3	55	30	54
-1		0	0	3	56	-1	-1
507		0	0	3	57	31	58
460		0	0	3	58	28	51
470		0	0	3	59	30	55
471		0	0	3	60	29	55
503		0	0	3	61	31	54
452		0	0	3	62	30	49
466		0	0	3	63	28	53
479		0	0	3	64	30	58
499		0	0	3	65	31	50
475		0	0	3	66	28	56
456		0	0	3	67	29	50
1642	0	1	0	0	24	3
1708	0	1	0	1	25	9
1677	0	1	0	2	22	14
1646	0	1	0	3	23	4
1667	0	1	0	4	23	11
1712	0	1	0	5	26	10
1673	0	1	0	6	23	13
1638	0	1	0	7	22	1
1671	0	1	0	8	22	12
1704	0	1	0	9	27	7
1669	0	1	0	10	24	12
-1		0	1	0	11	-1	-1
1634	0	1	0	12	23	0
1675	0	1	0	13	24	14
1700	0	1	0	14	26	6
1680	0	1	0	15	22	15
1665	0	1	0	16	22	10
1696	0	1	0	17	25	5
1679	0	1	0	18	23	15
1648	0	1	0	19	24	5
1661	0	1	0	20	23	9
1633	0	1	0	21	24	0
-1		0	1	0	22	-1	-1
1692	0	1	0	23	27	3
1676	0	1	0	24	23	14
1657	0	1	0	25	24	8
1637	0	1	0	26	23	1
1688	0	1	0	27	26	2
1672	0	1	0	28	24	13
1653	0	1	0	29	22	6
1641	0	1	0	30	22	2
1645	0	1	0	31	24	4
1649	0	1	0	32	23	5
1668	0	1	0	33	22	11
1684	0	1	0	34	25	1
1635	0	1	0	35	22	0
1674	0	1	0	36	22	13
1664	0	1	0	37	23	10
1694	0	1	0	38	26	4
1690	0	1	0	39	25	3
1678	0	1	0	40	24	15
1660	0	1	0	41	24	9
1639	0	1	0	42	24	2
1686	0	1	0	43	27	1
1670	0	1	0	44	23	12
-1		0	1	0	45	-1	-1
1656	0	1	0	46	22	7
1643	0	1	0	47	23	3
1682	0	1	0	48	26	0
1666	0	1	0	49	24	11
1652	0	1	0	50	23	6
1728	0	1	0	51	27	15
1647	0	1	0	52	22	4
1662	0	1	0	53	22	9
1658	0	1	0	54	23	8
1651	0	1	0	55	24	6
-1		0	1	0	56	-1	-1
1724	0	1	0	57	26	14
1644	0	1	0	58	22	3
1654	0	1	0	59	24	7
1655	0	1	0	60	23	7
1720	0	1	0	61	25	13
1636	0	1	0	62	24	1
1650	0	1	0	63	22	5
1663	0	1	0	64	24	10
1716	0	1	0	65	27	11
1659	0	1	0	66	22	8
1640	0	1	0	67	23	2
1546	0	1	1	0	24	19
1612	0	1	1	1	25	25
1581	0	1	1	2	22	30
1550	0	1	1	3	23	20
1571	0	1	1	4	23	27
1616	0	1	1	5	26	26
1577	0	1	1	6	23	29
1542	0	1	1	7	22	17
1575	0	1	1	8	22	28
1608	0	1	1	9	27	23
1573	0	1	1	10	24	28
-1		0	1	1	11	-1	-1
1538	0	1	1	12	23	16
1579	0	1	1	13	24	30
1604	0	1	1	14	26	22
1584	0	1	1	15	22	31
1569	0	1	1	16	22	26
1600	0	1	1	17	25	21
1583	0	1	1	18	23	31
1552	0	1	1	19	24	21
1565	0	1	1	20	23	25
1537	0	1	1	21	24	16
-1		0	1	1	22	-1	-1
1596	0	1	1	23	27	19
